0,1,2,3
0.95636094,0.020919528,0.017277628,0.0054419064
0.95672065,0.019394346,0.01845171,0.00543337
0.9517277,0.021991305,0.020590942,0.0056901276
0.9500934,0.030032782,0.013810348,0.006063439
0.95357394,0.021955218,0.0186048,0.005866115
0.9521848,0.019478679,0.022105923,0.0062306332
0.9471718,0.022044072,0.02526102,0.0055230516
0.9424565,0.019665794,0.032128014,0.0057496955
0.946246,0.03073287,0.01704523,0.005975983
0.9565532,0.01901275,0.018958855,0.0054751304
0.7339983,0.19609383,0.055089943,0.0148179
0.95536345,0.022926165,0.015760243,0.005950171
0.9519075,0.018528458,0.024335695,0.0052283485
0.95636094,0.020919528,0.017277628,0.0054419064
0.9519075,0.018528458,0.024335695,0.0052283485
0.9074057,0.04429531,0.040646188,0.0076527977
0.95575726,0.020275075,0.018162878,0.0058047217
0.95636094,0.020919528,0.017277628,0.0054419064
0.95575726,0.020275075,0.018162878,0.0058047217
0.95672065,0.019394346,0.01845171,0.00543337
0.9418789,0.035192013,0.016024435,0.0069046253
0.9534934,0.022554714,0.017731914,0.0062199477
0.9534934,0.022554714,0.017731914,0.0062199477
0.92332965,0.033353228,0.037114423,0.0062026023
0.95251864,0.02011894,0.02166551,0.0056968625
0.9522115,0.02003366,0.021649327,0.0061054495
0.95251864,0.02011894,0.02166551,0.0056968625
0.9565532,0.01901275,0.018958855,0.0054751304
0.9484257,0.025619145,0.019209545,0.006745672
0.95251864,0.02011894,0.02166551,0.0056968625
0.9565532,0.01901275,0.018958855,0.0054751304
0.9565532,0.01901275,0.01895885,0.0054751304
0.9565532,0.01901275,0.018958855,0.0054751304
0.9565532,0.01901275,0.018958855,0.0054751304
0.9565532,0.01901275,0.018958855,0.0054751304
0.9534868,0.024097642,0.015706882,0.006708665
0.95672065,0.01939435,0.018451713,0.00543337
0.9565532,0.01901275,0.018958855,0.0054751304
0.92032707,0.035033885,0.0374937,0.007145449
0.95575726,0.020275075,0.018162878,0.0058047217
0.95575726,0.020275075,0.018162878,0.0058047217
0.95763254,0.01829955,0.017839205,0.0062287417
0.95763254,0.01829955,0.017839205,0.0062287417
0.95763254,0.01829955,0.017839205,0.0062287417
0.95763254,0.018299555,0.017839218,0.0062287445
0.95763254,0.01829955,0.017839205,0.0062287417
0.95300066,0.021771539,0.019351926,0.0058758315
0.95191574,0.022096334,0.019946873,0.00604106
0.95763254,0.01829955,0.017839205,0.0062287417
0.95357394,0.021955218,0.0186048,0.005866115
0.948762,0.02060337,0.023482801,0.007151898
